"date","interest_charged","scheduled_payment","excess_payment"
"2009/03/31 00:00:00",6.19560773406974,8.22884654059196,3.25585705566919
"2009/06/30 00:00:00",5.67234943131047,8.20319924325697,1.09706212399466
"2009/09/30 00:00:00",5.73643222572373,8.17528937220787,1.71269510425428
"2009/12/31 00:00:00",5.88258199596674,8.31815424190786,1.77693138083761
"2010/03/31 00:00:00",6.26258764255559,8.62050829214712,1.81841524742696
"2010/06/30 00:00:00",6.65946321271799,8.70073005579359,2.55592371311816
"2010/09/30 00:00:00",6.87578344809089,8.96503934927988,2.19467520874606
"2010/12/31 00:00:00",6.97393945988226,9.06302136242631,1.89756365061821
"2011/03/31 00:00:00",7.09897996922536,8.91222241533576,1.85841638242154
"2011/06/30 00:00:00",7.09904087929919,8.94818033738791,1.57187857144981
"2011/09/30 00:00:00",7.12680323123948,8.93447635323679,2.0466591687883
"2011/12/31 00:00:00",7.05542347616041,8.66240393115972,2.08203658973518
"2012/03/31 00:00:00",6.86765598839446,8.65158205694495,1.90190858446922
"2012/06/30 00:00:00",6.6512685276288,8.38431913468247,1.96781405876065
"2012/09/30 00:00:00",6.44011532774178,8.33548373563501,2.12892185975988
"2012/12/31 00:00:00",6.23455186158814,8.12624396423972,2.2352285345943
"2013/03/31 00:00:00",5.8561071064123,8.0964019450897,2.33929417895316
"2013/06/30 00:00:00",5.84602514408421,8.34939741895466,2.65633339222548
"2013/09/30 00:00:00",5.66135083397352,7.92608058511179,2.28578496902493
"2013/12/31 00:00:00",5.43457021644921,7.87454534312127,2.49327415792851
"2014/03/31 00:00:00",5.33854145653986,7.70244878636362,2.85984898827326
"2014/06/30 00:00:00",5.25982039216022,7.58467529493096,2.64817985382517
"2014/09/30 00:00:00",5.31198450858103,7.62719702729851,2.69836680787524
"2014/12/31 00:00:00",5.29005272309297,7.57474194388425,2.91037787825259
"2015/03/31 00:00:00",5.19687215454583,7.51025240263959,3.1215084669502
"2015/06/30 00:00:00",4.98346488513902,7.35718983367102,3.22729849346286
"2015/09/30 00:00:00",4.96320928198883,7.3876741761083,3.36824656767916
"2015/12/31 00:00:00",5.03439038487801,7.52332107656957,2.82441165676261
"2016/03/31 00:00:00",5.10320523557746,7.59364091277941,2.07681443723509
"2016/06/30 00:00:00",5.03268347874361,7.56167459857589,2.51108286531298
"2016/09/30 00:00:00",4.89663416765159,7.41783359830546,2.06912592646114
"2016/12/31 00:00:00",4.7708203318455,7.47134538730752,2.22341961325809
"2017/03/31 00:00:00",4.77010758397141,7.4162077635824,2.01902892762495
"2017/06/30 00:00:00",4.86094823500213,7.64943159108163,1.8579955374607
"2017/09/30 00:00:00",4.94918933895262,7.81294119125483,1.25400641860049
"2017/12/31 00:00:00",4.88674541337365,7.69640213823052,1.60867775779863
"2018/03/31 00:00:00",4.85847045539751,7.75957893021101,1.35297728385384
"2018/06/30 00:00:00",4.88137720376813,7.93583487283049,1.36032822914041
"2018/09/30 00:00:00",4.87444356243464,8.16387507513497,0.941226768346514
"2018/12/31 00:00:00",4.87452993743048,8.10743149315264,0.667436025731104
"2019/03/31 00:00:00",4.73794138556801,7.79794517460013,1.76701405845182
"2019/06/30 00:00:00",4.78244719501041,7.9602175925488,0.748592739271707
"2019/09/30 00:00:00",4.49581174092228,7.76311023324876,0.591418235233309
"2019/12/31 00:00:00",4.3181700178008,7.93246982092027,1.76209553593541
"2020/03/31 00:00:00",4.25887886246355,7.93063201126388,1.7545460900303
"2020/06/30 00:00:00",3.72983908501996,7.43446323827685,4.20856829636784
"2020/09/30 00:00:00",3.46042284932767,7.09255810400008,3.93914775251312
"2020/12/31 00:00:00",3.52099519640323,7.42204824533485,2.77140236569168
"2021/03/31 00:00:00",3.45017026078987,7.49197632255787,2.55246113976012
"2021/06/30 00:00:00",3.49745231258652,7.620552512843,2.09717168061652
"2021/09/30 00:00:00",3.26030106479993,7.3143128032159,4.28876229075596
"2021/12/31 00:00:00",3.15819942288962,7.29536807938279,3.17603122883542
"2022/03/31 00:00:00",3.13634321937664,7.24589761420072,2.4416004764086
"2022/06/30 00:00:00",3.28660964939124,7.5035685302548,2.56410450059159
"2022/09/30 00:00:00",4.0302332534695,7.8734404752563,1.93129211841018
"2022/12/31 00:00:00",4.84529327036569,8.53326182325139,1.48715547165427
"2023/03/31 00:00:00",5.34118383901569,9.02457987030519,1.89422296619313
"2023/06/30 00:00:00",5.81299305595983,9.47576916221446,1.06505745789321
