"date.x","interest_charged","scheduled_payment","excess_payment","population"
"2009/03/31 00:00:00",623.1143631626493,827.6044404018434,327.4531543751029,21601.7
"2009/06/30 00:00:00",582.2554233762314,842.0421390222251,112.61125204146055,21691.7
"2009/09/30 00:00:00",576.8368430761333,822.0803327112093,172.22301218164364,21788.1
"2009/12/31 00:00:00",601.3063312191479,850.265888881101,181.63454248019355,21865.6
"2010/03/31 00:00:00",651.2816284526205,896.4950271430971,189.10720474388845,21964.1
"2010/06/30 00:00:00",700.2353719553871,914.8723781920905,268.75262086092783,22031.8
"2010/09/30 00:00:00",734.8345029239428,958.1192141458171,234.55117198989117,22104.4
"2010/12/31 00:00:00",765.5811299101049,994.9151659488149,208.30965512011454,22172.5
"2011/03/31 00:00:00",791.743094875678,993.9724563144939,207.26757147712408,22268.8
"2011/06/30 00:00:00",797.1708115768802,1004.8157635621352,176.51056499151431,22340
"2011/09/30 00:00:00",808.564050666671,1013.6517252353428,232.20158802697034,22432.8
"2011/12/31 00:00:00",805.9626684336343,989.5329757310164,237.83742695380022,22522.2
"2012/03/31 00:00:00",780.5338896623545,983.2835258568299,216.1587749483413,22640.9
"2012/06/30 00:00:00",765.3135324169574,964.7231753192294,226.4221813018202,22733.5
"2012/09/30 00:00:00",727.9048801321325,942.1320862522958,240.62497832357502,22833.9
"2012/12/31 00:00:00",711.2522947190728,927.0609652993109,255.0001122368994,22928
"2013/03/31 00:00:00",674.2541233356118,932.1947663289286,269.33912191036933,23043
"2013/06/30 00:00:00",673.3794113911043,961.7324901750598,305.9720360466463,23128.1
"2013/09/30 00:00:00",655.9186530742198,918.3080600386173,264.8288442226462,23220.2
"2013/12/31 00:00:00",637.8291972352712,924.1972657917744,292.6235178313759,23297.8
"2014/03/31 00:00:00",631.3137403075168,910.859603214174,338.19386366096677,23406.2
"2014/06/30 00:00:00",630.444894834416,909.1032510906895,317.41225839876216,23475.7
"2014/09/30 00:00:00",637.7902759453082,915.7692551383956,323.9828934395983,23562.9
"2014/12/31 00:00:00",640.6141222887738,917.2851228424512,352.44056488634834,23640.3
"2015/03/31 00:00:00",628.5703713069537,908.3775780796907,377.5516652631924,23745.6
"2015/06/30 00:00:00",608.141326433003,897.8113195119415,393.8331325384632,23816
"2015/09/30 00:00:00",605.8220197693595,901.7584059994352,411.13679129301505,23904.3
"2015/12/31 00:00:00",609.5628610527173,910.9220321544575,341.9791312684577,23984.6
"2016/03/31 00:00:00",619.1940114594953,921.3693671551441,251.98889777809933,24103.4
"2016/06/30 00:00:00",615.1607736298071,924.2873341118767,306.9375780533134,24190.9
"2016/09/30 00:00:00",599.5971111145344,908.3201734070707,253.36626865741331,24297.5
"2016/12/31 00:00:00",585.2404005504468,916.5159999700022,272.74868776110986,24385.1
"2017/03/31 00:00:00",587.937156842914,914.0808735065847,248.85437202301094,24511.4
"2017/06/30 00:00:00",599.4977101761953,943.3996210825492,229.1454293227605,24592.6
"2017/09/30 00:00:00",611.0510209877482,964.6237726770488,154.82574012276135,24690.1
"2017/12/31 00:00:00",613.2303969057515,965.8100307531848,201.87057365594734,24759
"2018/03/31 00:00:00",612.2538175060365,977.8451605037859,170.4992372894208,24881.8
"2018/06/30 00:00:00",618.2749280637696,1005.1523433463965,172.29908751277355,24963.3
"2018/09/30 00:00:00",619.793294604215,1038.0497721934544,119.67848888823534,25067.4
"2018/12/31 00:00:00",626.3937969949734,1041.8327227567577,85.76781592797532,25146.1
"2019/03/31 00:00:00",611.7266317751782,1006.8108379212822,228.1432948007089,25264.9
"2019/06/30 00:00:00",615.9882143668827,1025.2910321564605,96.42015603080586,25334.8
"2019/09/30 00:00:00",590.193593227116,1019.112495631183,77.63920588026701,25438.1
"2019/12/31 00:00:00",562.6235179400795,1033.5382947410278,229.58715967357773,25520.5
"2020/03/31 00:00:00",561.8624472378345,1046.2669763313966,231.47255223074225,25627.9
"2020/06/30 00:00:00",504.46883599619474,1005.527297714494,569.2180014430314,25649.2
"2020/09/30 00:00:00",483.8622414388393,991.7345975228044,550.8011430626411,25633.3
"2020/12/31 00:00:00",481.24768976609295,1014.4414780936377,378.793753329696,25630.7
"2021/03/31 00:00:00",477.98300770403466,1037.930625337828,353.61531762519274,25653
"2021/06/30 00:00:00",481.0777287090643,1048.2138902061092,288.46786136101406,25685.4
"2021/09/30 00:00:00",466.9394458399198,1047.55392190845,614.2353873407135,25704
"2021/12/31 00:00:00",449.55267959508217,1038.4563574260383,452.0909411395733,25771.4
"2022/03/31 00:00:00",451.12071241265687,1042.2247391779629,351.1913299346894,25909.9
"2022/06/30 00:00:00",474.2337252764953,1082.7100375699704,369.9815186567733,26013.1
"2022/09/30 00:00:00",595.176508224942,1162.7333990522418,285.20922415797867,26153.4
"2022/12/31 00:00:00",713.1545436277299,1255.9682359035996,218.88699455565472,26291.4
"2023/03/31 00:00:00",791.0301114003877,1336.5416048785185,280.53469963337955,26473.1
"2023/06/30 00:00:00",875.1493532774854,1426.582343086839,160.3449955136229,26473.1
"2023/09/30 00:00:00",939.3381869436824,1497.4070322001958,244.8014953903974,26473.1
